,Unnamed: 0,Unnamed: 0.1,Title,Year,IMDB Rating,Age Restriction,Genre,Language,Runtime,Country,Type,Release Date,OTT Release Date,OTT,OTT Year
6141,6141,6141,Paddleton,2019,7.2,TV-MA,"Comedy, Drama",English,120,"Spain,United Kingdom,Hong Kong,Canada,Greece,United States,Slovakia,Australia,Japan,Portugal,France,South Korea,Russia,Netherlands,Singapore,Sweden,Poland,India,Israel,Germany,Brazil,Lithuania,South Africa,Switzerland,Czech Republic,Argentina,Mexico,Belgium,Romania,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",Movie,22-02-2019,2019-02-22,Netflix,2019
6142,6142,6142,Paris Is Us,2019,4.6,Not Rated,Drama,French,120,"Lithuania,Brazil,Spain,United Kingdom,Canada,Romania,Hong Kong,Greece,Slovakia,United States,France,Australia,Japan,Portugal,South Korea,Singapore,Netherlands,Sweden,Russia,Poland,India,Germany,Israel,South Africa,Switzerland,Czech Republic,Argentina,Mexico,Belgium,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",Movie,22-02-2019,2019-02-22,Netflix,2019
6143,6143,6143,The Photographer Of Mauthausen,2018,6.7,TV-MA,"Biography, Drama, History, Thriller, War","Spanish, German",120,"Lithuania,Spain,United Kingdom,Romania,Canada,Greece,Hong Kong,Slovakia,United States,Australia,Japan,France,Russia,South Korea,Singapore,Portugal,Netherlands,India,Sweden,Poland,Germany,Brazil,Israel,South Africa,Czech Republic,Switzerland,Argentina,Mexico,Belgium,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",Movie,26-10-2018,2019-02-22,Netflix,2019
6144,6144,6144,Bert Kreischer: The Machine,2016,7.7,TV-MA,Comedy,English,120,"Lithuania,Romania,Russia,Singapore,Hungary,South Africa,Australia,United Kingdom,India,Thailand,Czech Republic,United States",Movie,11-11-2016,2019-02-22,Netflix,2019
6145,6145,6145,Anavitória: Araguaína - Las Vegas,2019,7.2,Not Rated,Documentary,Portuguese,60,"Portugal,Brazil",Movie,22-02-2019,2019-02-22,Netflix,2019
6146,6146,6146,Go! Live Your Way,2019,7.0,Not Rated,"Comedy, Musical, Romance",Spanish,30,"France,Australia,Poland,Russia,Sweden,Singapore,India,Germany,Lithuania,Romania,Slovakia,United Kingdom,Spain,Canada,Greece,Hong Kong,Portugal,Switzerland,South Africa,Argentina,Mexico,Czech Republic,Belgium,Iceland,Thailand,Hungary,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Series,22-02-2019,2019-02-22,Netflix,2019
6147,6147,6147,Shonar Pahar,2018,8.1,Not Rated,Drama,Bengali,180,"Australia,Russia,Singapore,India,Romania,Lithuania,United Kingdom,Canada,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",Movie,01-06-2018,2019-02-22,Netflix,2019
6148,6148,6148,Losers,1677,6.6,Not Rated,Drama,English,30,"Lithuania,Israel,Brazil,Spain,United Kingdom,Canada,Switzerland,Hong Kong,South Africa,United States,Argentina,Slovakia,Mexico,Belgium,Japan,South Korea,Australia,France,Russia,Netherlands,Singapore,Poland,Sweden,India,Czech Republic,Hungary,Germany,Greece,Romania,Portugal,Iceland,Italy,Thailand,Turkey,Malaysia,Colombia",Series,1677-09-23,2019-02-21,Netflix,2019
6149,6149,6149,The Drug King,2018,6.2,Not Rated,"Action, Crime, Drama","Korean, Japanese",180,"Spain,United Kingdom,South Africa,Canada,Hong Kong,Switzerland,Mexico,Czech Republic,Belgium,Argentina,Australia,Japan,France,Russia,South Korea,Singapore,Poland,India,Sweden,Romania,Germany,Lithuania,Slovakia,Greece,Portugal,Iceland,Thailand,Hungary,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",Movie,19-12-2018,2019-02-21,Netflix,2019
6150,6150,6150,Revenge,2018,6.4,R,"Action, Horror, Thriller","French, English",30,"South Africa,United States,Australia,Russia,Singapore,India,Lithuania,United Kingdom,Canada,Hong Kong,Romania,Thailand,Hungary,Czech Republic,Greece,Slovakia,Malaysia,Iceland,Israel",Series,11-05-2018,2019-02-21,Netflix,2019
